win_loss_ratio,total_operations,total_profits,total_losses,profit_loss_ratio,average_change,stop_loss,take_profit
0.9030303030303031,628,298,330,1.3490500985763203,0.0026162648098159783,0.01,0.02
0.6258992805755396,452,174,278,2.1708759641144053,0.005223991664148887,0.01,0.04
0.4681818181818182,323,103,220,3.0017260186379215,0.006594821492125234,0.01,0.06
0.4052631578947368,267,77,190,3.852642973189623,0.009487958491574756,0.01,0.08
0.38562091503267976,212,59,153,4.355356533145541,0.012627011388487158,0.01,0.1
1.323008849557522,525,299,226,0.9906160918003721,0.0042546050887436225,0.02,0.02
0.8743455497382199,358,167,191,1.561116848119256,0.006446553197817876,0.02,0.04
0.6496815286624203,259,102,157,2.166620536728292,0.008185499848946391,0.02,0.06
0.5434782608695652,213,75,138,2.697205942563663,0.010250286881691545,0.02,0.08
0.49572649572649574,175,58,117,3.1658673408116376,0.013435170984755346,0.02,0.1
1.8523489932885906,425,276,149,0.7341540848964859,0.005380971704465982,0.03,0.02
1.2030075187969924,293,160,133,1.2113379023287072,0.00893456166431578,0.03,0.04
0.8571428571428571,208,96,112,1.7062427547047252,0.010540104516022561,0.03,0.06
0.7029702970297029,172,71,101,2.1803528915324972,0.013310513136551436,0.03,0.08
0.5894736842105263,151,56,95,2.6624071165614795,0.014983910214428247,0.03,0.1
2.290909090909091,362,252,110,0.566603763655989,0.0050274051612745445,0.04,0.02
1.504950495049505,253,152,101,0.9384562211229215,0.00905159036921337,0.04,0.04
1.108433734939759,175,92,83,1.2695188975263096,0.01072552028570985,0.04,0.06
0.8414634146341463,151,69,82,1.6537329307645898,0.011727582859205181,0.04,0.08
0.7605633802816901,125,54,71,1.9295888484072083,0.015357360453638185,0.04,0.1
2.9135802469135803,317,236,81,0.4728926655341769,0.006411429749706478,0.05,0.02
1.9473684210526316,224,148,76,0.7740603016239901,0.011409353611177567,0.05,0.04
1.3636363636363635,156,90,66,1.0467137472214714,0.01226401521932675,0.05,0.06
1.1379310344827587,124,66,58,1.337484092209186,0.01647279111374142,0.05,0.08
1.02,101,51,50,1.647105173442473,0.022861541273800606,0.05,0.1
